Time(s)	Flow ID	Throughput(Mbps)
19.2	3	513.611
19.3	1	425.949
19.3	3	526.543
19.4	1	469.093
19.4	3	483.284
19.5	1	472.984
19.5	3	479.393
19.6	1	463.715
19.6	3	488.663
19.7	1	482.483
19.7	3	470.009
19.8	1	450.668
19.8	3	501.709
19.9	1	435.905
19.9	3	516.472
20	1	455.36
20	3	497.017
20	5	0
20.1	1	436.02
20.1	3	432.129
20.1	5	84.3304
20.2	1	379.829
20.2	3	361.748
20.2	5	210.8
20.3	1	316.544
20.3	3	345.84
20.3	5	289.993
20.4	1	331.535
20.4	3	339.088
20.4	5	281.754
20.5	1	344.925
20.5	3	315.056
20.5	5	292.511
20.6	1	320.435
20.6	3	300.064
20.6	5	331.879
20.7	1	284.958
20.7	3	346.413
20.7	5	321.007
20.8	1	291.595
20.8	3	356.483
20.8	5	304.298
20.9	1	331.993
20.9	3	284.5
20.9	5	335.999
21	1	316.887
21	3	313.225
21	5	322.266
21.1	1	348.473
21.1	3	302.696
21.1	5	301.208
21.2	1	332.222
21.2	3	334.282
21.2	5	285.873
21.3	1	329.132
21.3	3	342.064
21.3	5	281.296
21.4	1	323.067
21.4	3	310.478
21.4	5	318.832
21.5	1	323.524
21.5	3	327.759
21.5	5	301.094
21.6	1	340.462
21.6	3	285.759
21.6	5	326.157
21.7	1	315.056
21.7	3	313.225
21.7	5	324.097
21.8	1	331.993
21.8	3	289.192
21.8	5	331.306
21.9	1	311.852
21.9	3	269.165
21.9	5	371.361
22	1	297.661
22	3	299.835
22	5	354.881
22.1	1	306.931
22.1	3	313.568
22.1	5	331.879
22.2	1	305.901
22.2	3	329.247
22.2	5	317.345
22.3	1	295.601
22.3	3	336.456
22.3	5	320.32
22.4	1	308.189
22.4	3	334.854
22.4	5	309.334
22.5	1	298.92
22.5	3	353.622
22.5	5	299.835
22.6	1	275.688
22.6	3	368.271
22.6	5	308.533
22.7	1	309.219
22.7	3	315.056
22.7	5	328.102
22.8	1	290.337
22.8	3	303.955
22.8	5	358.086
22.9	1	299.95
22.9	3	322.723
22.9	5	329.704
23	1	296.402
23	3	337.029
23	5	319.061
23.1	1	295.83
23.1	3	363.121
23.1	5	293.427
23.2	1	292.854
23.2	3	344.582
23.2	5	314.941
23.3	1	316.2
23.3	3	304.07
23.3	5	332.108
23.4	1	316.315
23.4	3	291.252
23.4	5	344.925
23.5	1	308.533
23.5	3	294.914
23.5	5	348.93
23.6	1	318.718
23.6	3	283.012
23.6	5	350.647
23.7	1	333.023
23.7	3	294.914
23.7	5	324.44
23.8	1	315.17
23.8	3	314.827
23.8	5	322.38
23.9	1	291.595
23.9	3	359.573
23.9	5	301.323
24	1	306.129
24	3	333.595
24	5	312.653
24.1	1	312.424
24.1	3	325.699
24.1	5	314.255
24.2	1	331.879
24.2	3	312.08
24.2	5	308.418
24.3	1	327.759
24.3	3	289.764
24.3	5	334.969
24.4	1	318.489
24.4	3	281.982
24.4	5	351.906
24.5	1	291.939
24.5	3	311.623
24.5	5	348.816
24.6	1	286.674
24.6	3	327.644
24.6	5	338.058
24.7	1	281.982
24.7	3	333.824
24.7	5	336.685
24.8	1	306.587
24.8	3	333.595
24.8	5	312.195
24.9	1	300.751
24.9	3	316.772
24.9	5	334.854
25	1	283.928
25	3	335.083
25	5	333.366
25.1	1	284.042
25.1	3	350.761
25.1	5	317.688
25.2	1	300.522
25.2	3	325.241
25.2	5	326.614
25.3	1	307.388
25.3	3	339.088
25.3	5	305.901
25.4	1	316.544
25.4	3	291.252
25.4	5	344.582
25.5	1	319.405
25.5	3	258.408
25.5	5	374.565
25.6	1	323.753
25.6	3	288.162
25.6	5	340.576
25.7	1	341.148
25.7	3	300.407
25.7	5	310.822
25.8	1	367.012
25.8	3	308.99
25.8	5	276.375
25.9	1	359.802
25.9	3	317.802
25.9	5	274.773
26	1	358.543
26	3	307.274
26	5	286.674
26.1	1	334.282
26.1	3	304.642
26.1	5	313.454
26.2	1	328.56
26.2	3	305.901
26.2	5	317.917
26.3	1	298.233
26.3	3	328.56
26.3	5	325.584
26.4	1	310.364
26.4	3	302.925
26.4	5	339.203
26.5	1	315.628
26.5	3	296.745
26.5	5	340.004
26.6	1	302.238
26.6	3	320.435
26.6	5	329.704
26.7	1	296.288
26.7	3	305.786
26.7	5	350.304
26.8	1	313.568
26.8	3	306.816
26.8	5	332.108
26.9	1	322.495
26.9	3	320.778
26.9	5	309.105
27	1	306.244
27	3	320.663
27	5	325.47
27.1	1	375.595
27.1	3	265.732
27.1	5	311.05
27.2	1	369.987
27.2	3	282.097
27.2	5	300.407
27.3	1	310.593
27.3	3	335.197
27.3	5	306.587
27.4	1	301.552
27.4	3	306.129
27.4	5	344.696
27.5	1	324.211
27.5	3	273.857
27.5	5	354.309
27.6	1	312.881
27.6	3	297.203
27.6	5	342.293
27.7	1	292.397
27.7	3	324.783
27.7	5	335.312
27.8	1	283.585
27.8	3	337.601
27.8	5	331.192
27.9	1	311.852
27.9	3	312.996
27.9	5	327.53
28	1	325.584
28	3	280.38
28	5	346.413
28.1	1	305.099
28.1	3	278.091
28.1	5	369.301
28.2	1	343.323
28.2	3	275.345
28.2	5	333.71
28.3	1	320.663
28.3	3	292.74
